date,USD
25/11/2024,4.4625
26/11/2024,4.4665
27/11/2024,4.441
28/11/2024,4.445
29/11/2024,4.4405
30/11/2024,4.4405
1/12/2024,4.4405
2/12/2024,4.464
3/12/2024,4.4665
4/12/2024,4.4515
5/12/2024,4.4265
6/12/2024,4.4195
7/12/2024,4.4195
8/12/2024,4.4195
9/12/2024,4.4245
10/12/2024,4.4265
11/12/2024,4.431
12/12/2024,4.438
13/12/2024,4.4535
14/12/2024,4.4535
15/12/2024,4.4535
16/12/2024,4.4525
17/12/2024,4.4675
18/12/2024,4.4665
19/12/2024,4.5045
20/12/2024,4.508
21/12/2024,4.508
22/12/2024,4.508
23/12/2024,4.4895
24/12/2024,4.488
25/12/2024,4.488
26/12/2024,4.4695
27/12/2024,4.476
28/12/2024,4.476
29/12/2024,4.476
30/12/2024,4.472
31/12/2024,4.4755
1/1/2025,4.4755
2/1/2025,4.4785
3/1/2025,4.501
4/1/2025,4.501
5/1/2025,4.501
6/1/2025,4.5125
7/1/2025,4.4925
8/1/2025,4.5015
9/1/2025,4.5055
10/1/2025,4.4975
11/1/2025,4.4975
12/1/2025,4.4975
13/1/2025,4.51
14/1/2025,4.4985
15/1/2025,4.503
16/1/2025,4.504
17/1/2025,4.507
18/1/2025,4.507
19/1/2025,4.507
20/1/2025,4.4965
21/1/2025,4.4715
22/1/2025,4.4405
23/1/2025,4.4465
24/1/2025,4.3835
25/1/2025,4.3835
26/1/2025,4.3835
27/1/2025,4.374
28/1/2025,4.3955
29/1/2025,4.3955
30/1/2025,4.3955
31/1/2025,4.456
1/2/2025,4.456
2/2/2025,4.456
3/2/2025,4.4815
4/2/2025,4.451
5/2/2025,4.424
6/2/2025,4.435
7/2/2025,4.437
8/2/2025,4.437
9/2/2025,4.437
10/2/2025,4.476
11/2/2025,4.476
12/2/2025,4.4715
13/2/2025,4.459
14/2/2025,4.435
15/2/2025,4.435
16/2/2025,4.435
17/2/2025,4.4325
18/2/2025,4.447
19/2/2025,4.4435
20/2/2025,4.4255
21/2/2025,4.4175
22/2/2025,4.4175
23/2/2025,4.4175
24/2/2025,4.4063
25/2/2025,4.4215
26/2/2025,4.428
27/2/2025,4.4445
28/2/2025,4.459
1/3/2025,4.459
2/3/2025,4.459
3/3/2025,4.466
4/3/2025,4.467
5/3/2025,4.432
6/3/2025,4.4225
7/3/2025,4.411
8/3/2025,4.411
9/3/2025,4.411
10/3/2025,4.42
11/3/2025,4.416
12/3/2025,4.43
13/3/2025,4.434
14/3/2025,4.441
15/3/2025,4.441
16/3/2025,4.441
17/3/2025,4.4485
18/3/2025,4.4485
19/3/2025,4.4335
20/3/2025,4.4235
21/3/2025,4.42
22/3/2025,4.42
23/3/2025,4.42
24/3/2025,4.4325
25/3/2025,4.437
26/3/2025,4.4305
27/3/2025,4.4335
28/3/2025,4.432
29/3/2025,4.432
30/3/2025,4.432
31/3/2025,4.432
1/4/2025,4.432
2/4/2025,4.453
3/4/2025,4.454
4/4/2025,4.435
5/4/2025,4.435
6/4/2025,4.435
7/4/2025,4.4735
8/4/2025,4.4875
9/4/2025,4.4935
10/4/2025,4.4705
11/4/2025,4.4205
12/4/2025,4.4205
13/4/2025,4.4205
14/4/2025,4.4165
15/4/2025,4.4145
16/4/2025,4.413
17/4/2025,4.41
18/4/2025,4.4165
19/4/2025,4.4165
20/4/2025,4.4165
21/4/2025,4.371
22/4/2025,4.387
23/4/2025,4.398
24/4/2025,4.377
25/4/2025,4.3755
26/4/2025,4.3755
27/4/2025,4.3755
28/4/2025,4.366
29/4/2025,4.326
30/4/2025,4.317
1/5/2025,4.317
2/5/2025,4.2735
3/5/2025,4.2735
4/5/2025,4.2735
5/5/2025,4.212
6/5/2025,4.2265
7/5/2025,4.239
8/5/2025,4.2765
9/5/2025,4.2995
10/5/2025,4.2995
11/5/2025,4.2995
12/5/2025,4.2995
13/5/2025,4.3195
14/5/2025,4.3
15/5/2025,4.281
16/5/2025,4.295
17/5/2025,4.295
18/5/2025,4.295
19/5/2025,4.2945
20/5/2025,4.2885
21/5/2025,4.273
22/5/2025,4.261
23/5/2025,4.231
24/5/2025,4.231
25/5/2025,4.231
26/5/2025,4.22
27/5/2025,4.2375
28/5/2025,4.227
29/5/2025,4.24
30/5/2025,4.25
31/5/2025,4.25
1/6/2025,4.25
2/6/2025,4.25
3/6/2025,4.247
4/6/2025,4.248
5/6/2025,4.2295
6/6/2025,4.2275
7/6/2025,4.2275
8/6/2025,4.2275
9/6/2025,4.2355
10/6/2025,4.235
11/6/2025,4.2375
12/6/2025,4.2265
13/6/2025,4.247
14/6/2025,4.247
15/6/2025,4.247
16/6/2025,4.2425
17/6/2025,4.244
18/6/2025,4.2505
19/6/2025,4.2595
20/6/2025,4.2555
21/6/2025,4.2555
22/6/2025,4.2555
23/6/2025,4.288
24/6/2025,4.249
25/6/2025,4.2355
26/6/2025,4.2225
27/6/2025,4.2225
28/6/2025,4.2225
29/6/2025,4.2225
30/6/2025,4.2125
1/7/2025,4.193
2/7/2025,4.226
3/7/2025,4.2195
4/7/2025,4.2245
5/7/2025,4.2245
6/7/2025,4.2245
7/7/2025,4.241
8/7/2025,4.2425
9/7/2025,4.2535
10/7/2025,4.2525
11/7/2025,4.2535
12/7/2025,4.2535
13/7/2025,4.2535
14/7/2025,4.2545
15/7/2025,4.2415
16/7/2025,4.244
17/7/2025,4.249
18/7/2025,4.246
19/7/2025,4.246
20/7/2025,4.246
21/7/2025,4.2335
22/7/2025,4.231
23/7/2025,4.229
24/7/2025,4.216
25/7/2025,4.2245
26/7/2025,4.2245
27/7/2025,4.2245
28/7/2025,4.231
29/7/2025,4.234
30/7/2025,4.2375
31/7/2025,4.263
1/8/2025,4.2805
2/8/2025,4.2805
3/8/2025,4.2805
4/8/2025,4.239
5/8/2025,4.229
6/8/2025,4.231
7/8/2025,4.23
8/8/2025,4.2425
9/8/2025,4.2425
10/8/2025,4.2425
11/8/2025,4.2335
12/8/2025,4.2315
13/8/2025,4.2115
14/8/2025,4.213
15/8/2025,4.2145
16/8/2025,4.2145
17/8/2025,4.2145
18/8/2025,4.2225
19/8/2025,4.225
20/8/2025,4.225
21/8/2025,4.2235
22/8/2025,4.2275
23/8/2025,4.2275
24/8/2025,4.2275
25/8/2025,4.205
26/8/2025,4.2185
27/8/2025,4.2345
28/8/2025,4.218
29/8/2025,4.225
30/8/2025,4.225
31/8/2025,4.225
1/9/2025,4.225
2/9/2025,4.228
3/9/2025,4.2285
4/9/2025,4.2295
5/9/2025,4.2295
6/9/2025,4.2295
7/9/2025,4.2295
8/9/2025,4.219
9/9/2025,4.208
10/9/2025,4.217
11/9/2025,4.218
12/9/2025,4.2025
13/9/2025,4.2025
14/9/2025,4.2025
15/9/2025,4.2025
16/9/2025,4.2025
17/9/2025,4.1875
18/9/2025,4.198
19/9/2025,4.2035
20/9/2025,4.2035
21/9/2025,4.2035
22/9/2025,4.206
23/9/2025,4.198
24/9/2025,4.209
25/9/2025,4.2135
26/9/2025,4.221
27/9/2025,4.221
28/9/2025,4.221
29/9/2025,4.213
30/9/2025,4.208
1/10/2025,4.208
2/10/2025,4.2055
3/10/2025,4.209
4/10/2025,4.209
5/10/2025,4.209
6/10/2025,4.217
7/10/2025,4.215
8/10/2025,4.2195
9/10/2025,4.2175
10/10/2025,4.2235
11/10/2025,4.2235
12/10/2025,4.2235
13/10/2025,4.226
14/10/2025,4.23
15/10/2025,4.229
16/10/2025,4.2275
17/10/2025,4.2275
18/10/2025,4.2275
19/10/2025,4.2275
20/10/2025,4.2275
21/10/2025,4.228
22/10/2025,4.2305
23/10/2025,4.229
24/10/2025,4.2235
25/10/2025,4.2235
26/10/2025,4.2235
27/10/2025,4.214
28/10/2025,4.2005
29/10/2025,4.1925
30/10/2025,4.1995
31/10/2025,4.188
1/11/2025,4.188
2/11/2025,4.188
3/11/2025,4.199
4/11/2025,4.197
5/11/2025,4.192
6/11/2025,4.182
7/11/2025,4.1775
8/11/2025,4.1775
9/11/2025,4.1775
10/11/2025,4.16
11/11/2025,4.145
12/11/2025,4.132
13/11/2025,4.127
14/11/2025,4.133
15/11/2025,4.133
16/11/2025,4.133
17/11/2025,4.152
18/11/2025,4.162
19/11/2025,4.1515
20/11/2025,4.1565
21/11/2025,4.1445
22/11/2025,4.1445
23/11/2025,4.1445
24/11/2025,4.141
25/11/2025,4.1375
26/11/2025,4.1355
27/11/2025,4.131
28/11/2025,4.1305
29/11/2025,4.1305
30/11/2025,4.1305
1/12/2025,4.132
2/12/2025,4.1305
3/12/2025,4.126
4/12/2025,4.1125
5/12/2025,4.1085
6/12/2025,4.1085
7/12/2025,4.1085
8/12/2025,4.116
9/12/2025,4.115
10/12/2025,4.119
11/12/2025,4.107
12/12/2025,4.0905
